VAST,UZ_eIPO
VERN,UZ_eIPO
VISI,UZ_eIPO
VKTR,UZ_eIPO
VTNY,UZ_eIPO
WBSA,UZ_eIPO
WGSH,UZ_eIPO
WIDI,UZ_eIPO
WINE,UZ_eIPO
WINR,UZ_eIPO
WIRG,UZ_eIPO
WMPP,UZ_eIPO
YOII,UZ_eIPO
YUPI,UZ_eIPO
ZATA,UZ_eIPO
AGAR,AE_IDX
AGII,AE_IDX
AMAN,AE_IDX
AMAR,AE_IDX
AMOR,AE_IDX
ANDI,AE_IDX
ARKA,AE_IDX
ARTO,AE_IDX
ASPI,AE_IDX
ATAP,AE_IDX
AYLS,AE_IDX
BANK,AE_IDX
BAPI,AE_IDX
BBSI,AE_IDX
BBSS,AE_IDX
BEEF,AE_IDX
BELL,AE_IDX
BESS,AE_IDX
BGTG,AE_IDX
BHAT,AE_IDX
BLUE,AE_IDX
BOGA,AE_IDX
BOLA,AE_IDX
BPTR,AE_IDX
BRIS,AE_IDX
BTPS,AE_IDX
BUKA,AE_IDX
CAKK,AE_IDX
CAMP,AE_IDX
CARE,AE_IDX
CARS,AE_IDX
CASA,AE_IDX
CASH,AE_IDX
CCSI,AE_IDX
CITY,AE_IDX
CLAY,AE_IDX
CLEO,AE_IDX
COCO,AE_IDX
CSIS,AE_IDX
CSMI,AE_IDX
CSRA,AE_IDX
DADA,AE_IDX
DAYA,AE_IDX
DCII,AE_IDX
DFAM,AE_IDX
DGNS,AE_IDX
DIGI,AE_IDX
DIVA,AE_IDX
DMMX,AE_IDX
DMND,AE_IDX
DWGL,AE_IDX
EAST,AE_IDX
ENZO,AE_IDX
EPAC,AE_IDX
ESIP,AE_IDX
ESTA,AE_IDX
FAPA,FJ_IDX
FILM,FJ_IDX
FIRE,FJ_IDX
FITT,FJ_IDX
FLMC,FJ_IDX
FOOD,FJ_IDX
FUJI,FJ_IDX
GGRP,FJ_IDX
GHON,FJ_IDX
GLVA,FJ_IDX
GMFI,FJ_IDX
GOOD,FJ_IDX
HDIT,FJ_IDX
HEAL,FJ_IDX
HELI,FJ_IDX
HOKI,FJ_IDX
HOMI,FJ_IDX
HOPE,FJ_IDX
HRME,FJ_IDX
HRTA,FJ_IDX
IFII,FJ_IDX
IFSH,FJ_IDX
IKAN,FJ_IDX
INDO,FJ_IDX
INOV,FJ_IDX
INPS,FJ_IDX
IPAC,FJ_IDX
IPCC,FJ_IDX
IPCM,FJ_IDX
IPTV,FJ_IDX
IRRA,FJ_IDX
ITIC,FJ_IDX
JAST,FJ_IDX
JAYA,FJ_IDX
JGLE,FJ_IDX
JMAS,FJ_IDX
KBAG,KO_IDX
KEEN,KO_IDX
KEJU,KO_IDX
KIOS,KO_IDX
KJEN,KO_IDX
KMDS,KO_IDX
KMTR,KO_IDX
KOTA,KO_IDX
LABA,KO_IDX
LAND,KO_IDX
LCKM,KO_IDX
LFLO,KO_IDX
LIFE,KO_IDX
LUCK,KO_IDX
LUCY,KO_IDX
MAPA,KO_IDX
MAPB,KO_IDX
MARI,KO_IDX
MARK,KO_IDX
MCAS,KO_IDX
MDKI,KO_IDX
MGLV,KO_IDX
MGRO,KO_IDX
MINA,KO_IDX
MOLI,KO_IDX
MPOW,KO_IDX
MPRO,KO_IDX
MSIN,KO_IDX
MTWI,KO_IDX
NASA,KO_IDX
NATO,KO_IDX
NFCX,KO_IDX
NICK,KO_IDX
NICL,KO_IDX
NPGF,KO_IDX
NZIA,KO_IDX
OASA,KO_IDX
OPMS,KO_IDX
PAMG,PT_IDX
PANI,PT_IDX
PBID,PT_IDX
PBSA,PT_IDX
PCAR,PT_IDX
PEHA,PT_IDX
PGUN,PT_IDX
PGJO,PT_IDX
PLAN,PT_IDX
PMJS,PT_IDX
PNGO,PT_IDX
POLA,PT_IDX
POLI,PT_IDX
POLU,PT_IDX
PORT,PT_IDX
POWR,PT_IDX
PPGL,PT_IDX
PPRE,PT_IDX
PRDA,PT_IDX
PRIM,PT_IDX
PSGO,PT_IDX
PSSI,PT_IDX
PTDU,PT_IDX
PTPW,PT_IDX
PURA,PT_IDX
PURI,PT_IDX
PZZA,PT_IDX
REAL,PT_IDX
RISE,PT_IDX
ROCK,PT_IDX
RONY,PT_IDX
SAMF,PT_IDX
SAPX,PT_IDX
SATU,PT_IDX
SCNP,PT_IDX
SFAN,PT_IDX
SGER,PT_IDX
SHIP,PT_IDX
SINI,PT_IDX
SKRN,PT_IDX
SLIS,PT_IDX
SMKL,PT_IDX
SNLK,PT_IDX
SOFA,PT_IDX
SOHO,PT_IDX
SOSS,PT_IDX
SOTS,PT_IDX
SPTO,PT_IDX
SURE,PT_IDX
TAMA,PT_IDX
TAMU,PT_IDX
TAPG,PT_IDX
TCPI,PT_IDX
TEBE,PT_IDX
TFAS,PT_IDX
TNCA,PT_IDX
TRIN,PT_IDX
TRJA,PT_IDX
TRUE,PT_IDX
TRUK,PT_IDX
TUGU,PT_IDX
UANG,UZ_IDX
UCID,UZ_IDX
URBN,UZ_IDX
VICI,UZ_IDX
WEGE,UZ_IDX
WIFI,UZ_IDX
WMUU,UZ_IDX
WOOD,UZ_IDX
WOWS,UZ_IDX
WSBP,UZ_IDX
YELO,UZ_IDX
ZINC,UZ_IDX
ZONE,UZ_IDX
ZYRX,UZ_IDX
AALI,AE_Bfr2016
ABBA,AE_Bfr2016
ABDA,AE_Bfr2016
ABMM,AE_Bfr2016
ACES,AE_Bfr2016
ACST,AE_Bfr2016
ADES,AE_Bfr2016
ADHI,AE_Bfr2016
ADMF,AE_Bfr2016
ADMG,AE_Bfr2016
ADRO,AE_Bfr2016
AGRO,AE_Bfr2016
AGRS,AE_Bfr2016
AHAP,AE_Bfr2016
AIMS,AE_Bfr2016
AISA,AE_Bfr2016
AKPI,AE_Bfr2016
AKRA,AE_Bfr2016
AKSI,AE_Bfr2016
ALDO,AE_Bfr2016
ALKA,AE_Bfr2016
AMAG,AE_Bfr2016
AMFG,AE_Bfr2016
AMIN,AE_Bfr2016
AMRT,AE_Bfr2016
ANJT,AE_Bfr2016
ANTM,AE_Bfr2016
APEX,AE_Bfr2016
APIC,AE_Bfr2016
APII,AE_Bfr2016
APLI,AE_Bfr2016
APLN,AE_Bfr2016
ARGO,AE_Bfr2016
ARII,AE_Bfr2016
ARNA,AE_Bfr2016
ARTA,AE_Bfr2016
ASDM,AE_Bfr2016
ASII,AE_Bfr2016
ASJT,AE_Bfr2016
ASBI,AE_Bfr2016
ASGR,AE_Bfr2016
ASMI,AE_Bfr2016
ASRI,AE_Bfr2016
ASRM,AE_Bfr2016
ASSA,AE_Bfr2016
ATIC,AE_Bfr2016
AUTO,AE_Bfr2016
BABP,AE_Bfr2016
BACA,AE_Bfr2016
BAJA,AE_Bfr2016
BALI,AE_Bfr2016
BAPA,AE_Bfr2016
BATA,AE_Bfr2016
BAYU,AE_Bfr2016
BBCA,AE_Bfr2016
BBHI,AE_Bfr2016
BBKP,AE_Bfr2016
BBLD,AE_Bfr2016
BBMD,AE_Bfr2016
BBRI,AE_Bfr2016
BBRM,AE_Bfr2016
BBNI,AE_Bfr2016
BBTN,AE_Bfr2016
BBYB,AE_Bfr2016
BCAP,AE_Bfr2016
BCIC,AE_Bfr2016
BCIP,AE_Bfr2016
BDMN,AE_Bfr2016
BEKS,AE_Bfr2016
BEST,AE_Bfr2016
BFIN,AE_Bfr2016
BHIT,AE_Bfr2016
BINA,AE_Bfr2016
BIPI,AE_Bfr2016
BIPP,AE_Bfr2016
BIRD,AE_Bfr2016
BISI,AE_Bfr2016
BJBR,AE_Bfr2016
BJTM,AE_Bfr2016
BKDP,AE_Bfr2016
BKSL,AE_Bfr2016
BKSW,AE_Bfr2016
BLTA,AE_Bfr2016
BLTZ,AE_Bfr2016
BMAS,AE_Bfr2016
BMRI,AE_Bfr2016
BMSR,AE_Bfr2016
BMTR,AE_Bfr2016
BNBA,AE_Bfr2016
BNBR,AE_Bfr2016
BNGA,AE_Bfr2016
BNII,AE_Bfr2016
BNLI,AE_Bfr2016
BOLT,AE_Bfr2016
BPII,AE_Bfr2016
BPFI,AE_Bfr2016
BRAM,AE_Bfr2016
BRMS,AE_Bfr2016
BRNA,AE_Bfr2016
BRPT,AE_Bfr2016
BSIM,AE_Bfr2016
BSDE,AE_Bfr2016
BSSR,AE_Bfr2016
BSWD,AE_Bfr2016
BTEK,AE_Bfr2016
BTON,AE_Bfr2016
BTPN,AE_Bfr2016
BUDI,AE_Bfr2016
BUKK,AE_Bfr2016
BULL,AE_Bfr2016
BUMI,AE_Bfr2016
BUVA,AE_Bfr2016
BVIC,AE_Bfr2016
BWPT,AE_Bfr2016
BYAN,AE_Bfr2016
CANI,AE_Bfr2016
CASS,AE_Bfr2016
CEKA,AE_Bfr2016
CENT,AE_Bfr2016
CFIN,AE_Bfr2016
CINT,AE_Bfr2016
CITA,AE_Bfr2016
CLPI,AE_Bfr2016
CMNP,AE_Bfr2016
CMPP,AE_Bfr2016
CNKO,AE_Bfr2016
CPIN,AE_Bfr2016
CPRO,AE_Bfr2016
CSAP,AE_Bfr2016
CTBN,AE_Bfr2016
CTRA,AE_Bfr2016
CTTH,AE_Bfr2016
DART,AE_Bfr2016
DEFI,AE_Bfr2016
DEWA,AE_Bfr2016
DGIK,AE_Bfr2016
DILD,AE_Bfr2016
DKFT,AE_Bfr2016
DLTA,AE_Bfr2016
DMAS,AE_Bfr2016
DNAR,AE_Bfr2016
DOID,AE_Bfr2016
DNET,AE_Bfr2016
DPUM,AE_Bfr2016
DSFI,AE_Bfr2016
DSNG,AE_Bfr2016
DSSA,AE_Bfr2016
DUTI,AE_Bfr2016
DVLA,AE_Bfr2016
DYAN,AE_Bfr2016
ECII,AE_Bfr2016
EKAD,AE_Bfr2016
ELSA,AE_Bfr2016
ELTY,AE_Bfr2016
EMDE,AE_Bfr2016
EMTK,AE_Bfr2016
ENRG,AE_Bfr2016
EPMT,AE_Bfr2016
ERAA,AE_Bfr2016
ERTX,AE_Bfr2016
ESSA,AE_Bfr2016
ESTI,AE_Bfr2016
EXCL,AE_Bfr2016
FAST,FJ_Bfr2016
FISH,FJ_Bfr2016
FMII,FJ_Bfr2016
FORU,FJ_Bfr2016
FPNI,FJ_Bfr2016
GDST,FJ_Bfr2016
GDYR,FJ_Bfr2016
GEMA,FJ_Bfr2016
GEMS,FJ_Bfr2016
GGRM,FJ_Bfr2016
GIAA,FJ_Bfr2016
GJTL,FJ_Bfr2016
GMTD,FJ_Bfr2016
GOLD,FJ_Bfr2016
GPRA,FJ_Bfr2016
GSMF,FJ_Bfr2016
GTBO,FJ_Bfr2016
GWSA,FJ_Bfr2016
GZCO,FJ_Bfr2016
HADE,FJ_Bfr2016
HDFA,FJ_Bfr2016
HERO,FJ_Bfr2016
HEXA,FJ_Bfr2016
HMSP,FJ_Bfr2016
HRUM,FJ_Bfr2016
IATA,FJ_Bfr2016
IBFN,FJ_Bfr2016
ICBP,FJ_Bfr2016
ICON,FJ_Bfr2016
IDPR,FJ_Bfr2016
IGAR,FJ_Bfr2016
IKAI,FJ_Bfr2016
IKBI,FJ_Bfr2016
IMAS,FJ_Bfr2016
